instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
1a96a912-87f7-42ca-b4b0-2027782c9d4a.singles,10,0.004474375,0.000580585,0.029184053,1.343e-06,1787,61,29,0,0,5,5,0
1a9ac1bf-62a9-4a87-9f39-8e5db756595e.singles,10,0.04262569,0.000559414,0.010853468,2.254e-06,877,59,27,0,0,3,3,0
1ad039f0-d621-47d0-b937-13392913f240.singles,10,0.003481075,0.00053057,0.011952428,1.543e-06,623,63,30,0,0,4,3,0
1ad84b81-a46d-4e30-9d98-c93006e70d64.singles,10,0.005107657,0.000543003,0.016818811,1.402e-06,962,61,28,0,0,0,2,0
1bc102f4-159f-4541-8f58-8ca5384a668c.singles,10,0.009827304,0.000570145,2.117557647,1.413e-06,165735,65,29,0,0,1,4,0
1c00bd24-2db8-4402-ba26-b1c9cbbc446d.singles,10,0.004040115,0.000560376,0.007309817,1.513e-06,273,58,27,0,0,4,2,0
1c03710b-51fd-42f2-b0e1-d4f4ad4fcf7f.singles,10,0.010536314,0.000551209,0.005233004,1.983e-06,262,60,28,0,0,4,3,0
1c327db2-7033-48b5-a0d3-9dbdb2e24792.singles,10,0.003203245,0.000529028,0.024527532,1.363e-06,1210,66,28,0,0,2,3,0
1c95b92a-3765-435b-ad1a-ca3e7059a8c5.singles,10,0.004010652,0.000571616,0.024367204,1.433e-06,1439,62,27,0,0,1,2,0
1ceb7eb3-fb2a-4f2a-b89d-3d958616a2f7.singles,10,0.012273818,0.000556769,0.080606179,1.633e-06,1428,61,27,0,0,2,1,0
1d9ef04c-a16e-43c1-b546-2470ad00ed61.singles,10,0.003336283,0.000574052,0.002083708,1.904e-06,61,61,28,0,0,1,3,0
1dbe3d10-92c6-452a-acb4-8103d88a4ed1.singles,10,0.003332666,0.000593068,0.013562544,1.793e-06,757,61,29,0,0,1,3,0
1dc5426d-0c8a-4136-8523-fb6859b45acc.singles,10,0.005315926,0.000581235,0.006420251,1.733e-06,210,62,28,0,0,2,4,0
1dca7d40-413f-4c34-8b9e-b7e36461ffbc.singles,10,0.00811657,0.000613476,0.006875089,1.903e-06,231,66,30,0,0,3,3,0
1e144b26-7917-4edf-a915-079230fca1bc.singles,10,0.004075602,0.000623435,0.045144903,1.683e-06,3097,62,29,0,0,2,2,1
1e3e6ce3-c719-4c69-87f8-a62c90da0624.singles,10,0.008351188,0.000627543,0.018133836,1.963e-06,960,62,29,0,0,3,2,0
1e7bf0ad-e623-4986-ab5e-c18477451e3a.singles,10,0.083912123,0.000582718,0.006266883,2.254e-06,212,60,29,0,0,2,3,0
1e935ca6-bb3a-4396-a500-a981176d46f3.singles,10,0.015793083,0.000723254,0.007505637,2.033e-06,128,62,30,0,0,0,2,0
1e93a2c8-f500-4bf6-a1cc-9b203386336c.singles,10,0.021935842,0.000971993,0.102659491,1.814e-06,6561,68,30,0,0,1,1,0
1e99569a-64ea-458c-8ca6-a31aeb0b9863.singles,10,0.004429482,0.000852307,0.05912364,1.603e-06,3266,63,28,0,0,2,5,0
1ef147dc-ef0b-4a6d-8519-0d1b26e9a7c6.singles,10,0.006630268,0.000568091,0.016565877,1.493e-06,1180,61,28,0,0,0,1,0
1f58ed1e-64c2-43e2-97f2-a59aeab06eb8.singles,10,0.006584996,0.000572038,0.004685591,2.174e-06,142,62,28,0,0,0,5,0
1fcb347a-0756-4401-abaa-075df48154a0.singles,10,0.010634709,0.000611873,0.009872116,1.433e-06,348,60,28,0,0,3,3,0
1feb6849-c1b7-48d7-9223-93c613292969.singles,10,0.004156824,0.000967464,0.045500709,1.523e-06,3007,56,29,0,0,6,5,0
1ffe4502-910f-4310-9479-c07a0e1d8525.singles,10,0.006575254,0.000622704,0.011146422,1.493e-06,570,65,29,0,0,2,3,1
20048c1d-2d44-4503-811e-6166e92ab95c.singles,10,0.003423216,0.000600673,0.007250407,1.593e-06,308,64,29,0,0,3,3,0
2017fc33-ba35-4d7c-9f14-deb5c29c1ea0.singles,10,0.004265318,0.000580234,0.006298399,1.863e-06,178,62,29,0,0,3,2,0
20d5e78e-e34d-479f-b838-fa57342beaa7.singles,10,0.003474861,0.000833571,0.006072967,2.584e-06,128,58,29,0,0,4,2,0
21164f39-848c-4d2a-b2ad-a24c92141699.singles,10,0.020924356,0.000712102,0.007209027,1.874e-06,308,66,30,0,0,0,5,0
2151b4e8-4c29-4de1-93de-eeae443ad6a8.singles,10,0.004253592,0.000581506,0.02706606,1.763e-06,1691,63,29,0,0,2,4,0
218d5906-c827-47c2-b322-8fea0da55a44.singles,10,0.005653247,0.000575124,0.092559815,2.184e-06,6187,63,28,0,0,1,2,0
21cee532-8b6e-4719-abaa-82dcd911f634.singles,10,0.004759408,0.000607715,0.005874744,1.332e-06,166,64,29,0,0,4,7,0
22135950-fc35-4ff1-b4eb-6f4ed5bf0789.singles,10,0.155634149,0.000603208,0.195835235,2.024e-06,11395,63,28,0,0,3,2,0
2214080d-8652-4301-a625-82d56d0f6e14.singles,10,0.004103344,0.000586305,0.026281139,1.322e-06,1017,64,30,0,0,0,3,0
22482293-28e0-4734-8188-b7a8af96fa53.singles,10,0.004599371,0.000678309,0.843375178,3.236e-06,54012,64,30,0,0,1,3,0
232080cf-5940-4c32-8965-2798e222d126.singles,10,0.00326439,0.000572479,0.034364254,1.493e-06,2264,63,29,0,0,2,3,0
